num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,24.702,349.454,18.694,237.526
2,avgWaits,1.959,0.003,0.051,0.643
2,avgNumNodes,0.328,0.000,0.004,0.048
2,avgDelays,0.009,0.000,0.008,0.107
2,avgNumQueues,0.002,0.000,0.002,0.020
2,utilization_server1,0.115,0.000,0.007,0.084
2,service_server1,2.076,0.016,0.127,1.613
2,share_server1,0.330,0.000,0.006,0.072
2,utilization_server2,0.117,0.000,0.002,0.022
2,service_server2,2.060,0.001,0.026,0.327
2,share_server2,0.339,0.000,0.004,0.054
2,utilization_server3,0.096,0.000,0.014,0.176
2,service_server3,1.742,0.088,0.297,3.776
2,share_server3,0.331,0.000,0.004,0.053
4,avgInterarrivals,15.249,264.080,16.251,29.858
4,avgWaits,2.031,0.008,0.089,0.163
4,avgNumNodes,0.345,0.000,0.018,0.033
4,avgDelays,0.007,0.000,0.006,0.012
4,avgNumQueues,0.001,0.000,0.001,0.002
4,utilization_server1,0.114,0.000,0.009,0.016
4,service_server1,2.007,0.031,0.175,0.321
4,share_server1,0.336,0.000,0.008,0.014
4,utilization_server2,0.128,0.000,0.011,0.021
4,service_server2,2.270,0.045,0.213,0.392
4,share_server2,0.333,0.000,0.007,0.013
4,utilization_server3,0.102,0.000,0.012,0.022
4,service_server3,1.825,0.052,0.229,0.420
4,share_server3,0.331,0.000,0.003,0.006
8,avgInterarrivals,10.420,155.411,12.466,11.142
8,avgWaits,2.013,0.009,0.095,0.085
8,avgNumNodes,0.351,0.001,0.026,0.023
8,avgDelays,0.005,0.000,0.005,0.005
8,avgNumQueues,0.001,0.000,0.001,0.001
8,utilization_server1,0.116,0.000,0.013,0.012
8,service_server1,1.966,0.037,0.193,0.172
8,share_server1,0.337,0.000,0.009,0.008
8,utilization_server2,0.125,0.000,0.012,0.010
8,service_server2,2.150,0.049,0.221,0.198
8,share_server2,0.334,0.000,0.008,0.007
8,utilization_server3,0.111,0.000,0.017,0.015
8,service_server3,1.934,0.092,0.303,0.271
8,share_server3,0.331,0.000,0.006,0.005
16,avgInterarrivals,8.162,82.843,9.102,5.009
16,avgWaits,2.027,0.018,0.132,0.073
16,avgNumNodes,0.348,0.001,0.026,0.014
16,avgDelays,0.006,0.000,0.008,0.004
16,avgNumQueues,0.001,0.000,0.001,0.001
16,utilization_server1,0.118,0.000,0.012,0.007
16,service_server1,2.042,0.060,0.244,0.134
16,share_server1,0.337,0.000,0.010,0.005
16,utilization_server2,0.118,0.000,0.012,0.007
16,service_server2,2.060,0.048,0.220,0.121
16,share_server2,0.334,0.000,0.009,0.005
16,utilization_server3,0.113,0.000,0.015,0.008
16,service_server3,1.987,0.082,0.287,0.158
16,share_server3,0.332,0.000,0.007,0.004
32,avgInterarrivals,7.015,42.788,6.541,2.396
32,avgWaits,2.017,0.017,0.131,0.048
32,avgNumNodes,0.345,0.001,0.026,0.010
32,avgDelays,0.009,0.000,0.013,0.005
32,avgNumQueues,0.002,0.000,0.002,0.001
32,utilization_server1,0.116,0.000,0.012,0.004
32,service_server1,2.023,0.044,0.211,0.077
32,share_server1,0.336,0.000,0.009,0.003
32,utilization_server2,0.115,0.000,0.012,0.004
32,service_server2,2.010,0.047,0.216,0.079
32,share_server2,0.334,0.000,0.009,0.003
32,utilization_server3,0.114,0.000,0.015,0.005
32,service_server3,2.016,0.067,0.259,0.095
32,share_server3,0.332,0.000,0.007,0.003
64,avgInterarrivals,6.416,21.791,4.668,1.175
64,avgWaits,2.017,0.019,0.138,0.035
64,avgNumNodes,0.346,0.001,0.029,0.007
64,avgDelays,0.009,0.000,0.014,0.004
64,avgNumQueues,0.002,0.000,0.003,0.001
64,utilization_server1,0.116,0.000,0.013,0.003
64,service_server1,2.019,0.046,0.215,0.054
64,share_server1,0.335,0.000,0.008,0.002
64,utilization_server2,0.116,0.000,0.015,0.004
64,service_server2,2.023,0.064,0.253,0.064
64,share_server2,0.334,0.000,0.009,0.002
64,utilization_server3,0.115,0.000,0.014,0.003
64,service_server3,2.009,0.053,0.229,0.058
64,share_server3,0.333,0.000,0.007,0.002
128,avgInterarrivals,6.137,11.020,3.320,0.583
128,avgWaits,2.022,0.017,0.130,0.023
128,avgNumNodes,0.346,0.001,0.028,0.005
128,avgDelays,0.009,0.000,0.014,0.002
128,avgNumQueues,0.002,0.000,0.003,0.000
128,utilization_server1,0.115,0.000,0.012,0.002
128,service_server1,2.011,0.043,0.207,0.036
128,share_server1,0.335,0.000,0.008,0.001
128,utilization_server2,0.116,0.000,0.014,0.002
128,service_server2,2.028,0.058,0.241,0.042
128,share_server2,0.334,0.000,0.009,0.002
128,utilization_server3,0.115,0.000,0.013,0.002
128,service_server3,2.023,0.050,0.223,0.039
128,share_server3,0.333,0.000,0.007,0.001
