num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,11.320,74.243,8.616,109.482
2,avgWaits,2.242,0.014,0.119,1.508
2,avgNumNodes,0.838,0.001,0.032,0.406
2,avgDelays,0.261,0.000,0.007,0.086
2,avgNumQueues,0.098,0.000,0.001,0.011
2,utilization_server1,0.379,0.000,0.020,0.259
2,service_server1,2.057,0.042,0.205,2.610
2,share_server1,0.495,0.000,0.015,0.195
2,utilization_server2,0.365,0.000,0.011,0.137
2,service_server2,1.921,0.001,0.028,0.352
2,share_server2,0.511,0.000,0.016,0.199
4,avgInterarrivals,6.979,55.967,7.481,13.746
4,avgWaits,2.312,0.012,0.111,0.205
4,avgNumNodes,0.871,0.002,0.050,0.092
4,avgDelays,0.299,0.002,0.044,0.081
4,avgNumQueues,0.114,0.000,0.020,0.037
4,utilization_server1,0.382,0.001,0.022,0.041
4,service_server1,2.018,0.026,0.162,0.298
4,share_server1,0.504,0.000,0.016,0.029
4,utilization_server2,0.381,0.000,0.017,0.032
4,service_server2,2.043,0.021,0.146,0.269
4,share_server2,0.498,0.000,0.018,0.032
8,avgInterarrivals,4.759,32.915,5.737,5.128
8,avgWaits,2.298,0.009,0.092,0.082
8,avgNumNodes,0.886,0.002,0.044,0.039
8,avgDelays,0.327,0.002,0.050,0.045
8,avgNumQueues,0.127,0.000,0.022,0.020
8,utilization_server1,0.383,0.000,0.017,0.015
8,service_server1,1.979,0.017,0.131,0.117
8,share_server1,0.504,0.000,0.014,0.013
8,utilization_server2,0.380,0.000,0.015,0.013
8,service_server2,1.990,0.015,0.122,0.109
8,share_server2,0.497,0.000,0.017,0.015
16,avgInterarrivals,3.699,17.586,4.194,2.308
16,avgWaits,2.302,0.010,0.098,0.054
16,avgNumNodes,0.881,0.003,0.054,0.029
16,avgDelays,0.326,0.003,0.055,0.030
16,avgNumQueues,0.126,0.001,0.024,0.013
16,utilization_server1,0.382,0.000,0.021,0.012
16,service_server1,1.996,0.010,0.102,0.056
16,share_server1,0.502,0.000,0.015,0.008
16,utilization_server2,0.378,0.000,0.018,0.010
16,service_server2,1.987,0.011,0.106,0.058
16,share_server2,0.498,0.000,0.016,0.009
32,avgInterarrivals,3.182,9.065,3.011,1.103
32,avgWaits,2.306,0.013,0.116,0.042
32,avgNumNodes,0.874,0.003,0.056,0.020
32,avgDelays,0.327,0.005,0.069,0.025
32,avgNumQueues,0.125,0.001,0.028,0.010
32,utilization_server1,0.379,0.000,0.020,0.007
32,service_server1,2.008,0.010,0.098,0.036
32,share_server1,0.499,0.000,0.014,0.005
32,utilization_server2,0.375,0.000,0.018,0.007
32,service_server2,1.979,0.009,0.097,0.035
32,share_server2,0.501,0.000,0.014,0.005
64,avgInterarrivals,2.904,4.615,2.148,0.541
64,avgWaits,2.352,0.024,0.155,0.039
64,avgNumNodes,0.894,0.005,0.071,0.018
64,avgDelays,0.345,0.007,0.085,0.021
64,avgNumQueues,0.132,0.001,0.035,0.009
64,utilization_server1,0.384,0.001,0.024,0.006
64,service_server1,2.031,0.012,0.112,0.028
64,share_server1,0.499,0.000,0.012,0.003
64,utilization_server2,0.382,0.001,0.022,0.006
64,service_server2,2.011,0.016,0.125,0.031
64,share_server2,0.502,0.000,0.013,0.003
128,avgInterarrivals,2.794,2.327,1.526,0.268
128,avgWaits,2.339,0.030,0.174,0.031
128,avgNumNodes,0.881,0.007,0.082,0.014
128,avgDelays,0.342,0.013,0.113,0.020
128,avgNumQueues,0.130,0.002,0.045,0.008
128,utilization_server1,0.379,0.001,0.026,0.005
128,service_server1,2.015,0.014,0.116,0.020
128,share_server1,0.501,0.000,0.013,0.002
128,utilization_server2,0.377,0.001,0.024,0.004
128,service_server2,2.011,0.015,0.124,0.022
128,share_server2,0.499,0.000,0.014,0.002
