num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,16.004,130.909,11.442,145.379
2,avgWaits,2.074,0.000,0.017,0.221
2,avgNumNodes,0.446,0.000,0.004,0.052
2,avgDelays,0.012,0.000,0.001,0.010
2,avgNumQueues,0.003,0.000,0.000,0.002
2,utilization_server1,0.147,0.000,0.003,0.041
2,service_server1,2.045,0.004,0.061,0.778
2,share_server1,0.334,0.000,0.002,0.026
2,utilization_server2,0.155,0.000,0.008,0.101
2,service_server2,2.187,0.014,0.117,1.487
2,share_server2,0.330,0.000,0.006,0.081
2,utilization_server3,0.143,0.000,0.001,0.009
2,service_server3,1.996,0.010,0.098,1.244
2,share_server3,0.334,0.000,0.009,0.110
4,avgInterarrivals,10.276,98.266,9.913,18.214
4,avgWaits,2.049,0.001,0.028,0.052
4,avgNumNodes,0.446,0.000,0.003,0.006
4,avgDelays,0.031,0.000,0.022,0.040
4,avgNumQueues,0.007,0.000,0.005,0.009
4,utilization_server1,0.146,0.000,0.004,0.008
4,service_server1,1.988,0.007,0.086,0.157
4,share_server1,0.337,0.000,0.003,0.006
4,utilization_server2,0.151,0.000,0.010,0.018
4,service_server2,2.090,0.029,0.170,0.313
4,share_server2,0.332,0.000,0.006,0.011
4,utilization_server3,0.144,0.000,0.002,0.003
4,service_server3,2.015,0.006,0.078,0.143
4,share_server3,0.330,0.000,0.008,0.015
8,avgInterarrivals,7.531,56.719,7.531,6.731
8,avgWaits,2.047,0.004,0.063,0.056
8,avgNumNodes,0.438,0.001,0.025,0.023
8,avgDelays,0.022,0.000,0.021,0.019
8,avgNumQueues,0.005,0.000,0.005,0.004
8,utilization_server1,0.143,0.000,0.009,0.008
8,service_server1,1.981,0.006,0.076,0.068
8,share_server1,0.337,0.000,0.005,0.004
8,utilization_server2,0.147,0.000,0.016,0.015
8,service_server2,2.084,0.042,0.204,0.182
8,share_server2,0.331,0.000,0.007,0.006
8,utilization_server3,0.145,0.000,0.002,0.002
8,service_server3,2.045,0.013,0.115,0.103
8,share_server3,0.332,0.000,0.007,0.006
16,avgInterarrivals,6.179,30.198,5.495,3.024
16,avgWaits,2.022,0.005,0.071,0.039
16,avgNumNodes,0.426,0.001,0.024,0.013
16,avgDelays,0.021,0.000,0.018,0.010
16,avgNumQueues,0.005,0.000,0.004,0.002
16,utilization_server1,0.137,0.000,0.010,0.005
16,service_server1,1.931,0.016,0.125,0.069
16,share_server1,0.338,0.000,0.004,0.002
16,utilization_server2,0.141,0.000,0.015,0.008
16,service_server2,2.037,0.033,0.181,0.100
16,share_server2,0.330,0.000,0.006,0.003
16,utilization_server3,0.144,0.000,0.006,0.003
16,service_server3,2.075,0.013,0.114,0.063
16,share_server3,0.330,0.000,0.006,0.003
32,avgInterarrivals,5.444,15.655,3.957,1.449
32,avgWaits,2.008,0.008,0.089,0.033
32,avgNumNodes,0.425,0.001,0.024,0.009
32,avgDelays,0.021,0.000,0.020,0.007
32,avgNumQueues,0.005,0.000,0.004,0.002
32,utilization_server1,0.137,0.000,0.010,0.004
32,service_server1,1.925,0.018,0.136,0.050
32,share_server1,0.336,0.000,0.006,0.002
32,utilization_server2,0.141,0.000,0.013,0.005
32,service_server2,2.003,0.032,0.178,0.065
32,share_server2,0.332,0.000,0.007,0.003
32,utilization_server3,0.145,0.000,0.008,0.003
32,service_server3,2.074,0.014,0.120,0.044
32,share_server3,0.330,0.000,0.006,0.002
64,avgInterarrivals,5.085,7.973,2.824,0.711
64,avgWaits,1.999,0.008,0.087,0.022
64,avgNumNodes,0.424,0.001,0.024,0.006
64,avgDelays,0.017,0.000,0.018,0.004
64,avgNumQueues,0.004,0.000,0.004,0.001
64,utilization_server1,0.139,0.000,0.012,0.003
64,service_server1,1.963,0.030,0.172,0.043
64,share_server1,0.335,0.000,0.007,0.002
64,utilization_server2,0.140,0.000,0.012,0.003
64,service_server2,1.988,0.027,0.166,0.042
64,share_server2,0.333,0.000,0.007,0.002
64,utilization_server3,0.142,0.000,0.010,0.003
64,service_server3,2.027,0.021,0.144,0.036
64,share_server3,0.332,0.000,0.007,0.002
128,avgInterarrivals,4.923,4.036,2.009,0.353
128,avgWaits,2.005,0.008,0.090,0.016
128,avgNumNodes,0.424,0.001,0.027,0.005
128,avgDelays,0.015,0.000,0.016,0.003
128,avgNumQueues,0.003,0.000,0.004,0.001
128,utilization_server1,0.141,0.000,0.012,0.002
128,service_server1,1.996,0.029,0.170,0.030
128,share_server1,0.334,0.000,0.007,0.001
128,utilization_server2,0.140,0.000,0.012,0.002
128,service_server2,1.990,0.026,0.161,0.028
128,share_server2,0.334,0.000,0.007,0.001
128,utilization_server3,0.142,0.000,0.011,0.002
128,service_server3,2.013,0.021,0.145,0.025
128,share_server3,0.333,0.000,0.006,0.001
