num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,2.173,0.027,0.165,2.096
2,avgWaits,2.033,0.000,0.008,0.100
2,avgNumNodes,0.988,0.000,0.018,0.225
2,avgDelays,0.063,0.000,0.007,0.090
2,avgNumQueues,0.031,0.000,0.004,0.050
2,utilization_server1,0.317,0.000,0.007,0.095
2,service_server1,1.973,0.002,0.047,0.593
2,share_server1,0.332,0.000,0.008,0.098
2,utilization_server2,0.320,0.000,0.003,0.040
2,service_server2,1.892,0.002,0.048,0.614
2,share_server2,0.349,0.000,0.002,0.028
2,utilization_server3,0.323,0.000,0.009,0.119
2,service_server3,2.051,0.002,0.046,0.590
2,share_server3,0.325,0.000,0.009,0.120
4,avgInterarrivals,2.060,0.026,0.163,0.299
4,avgWaits,2.035,0.002,0.048,0.088
4,avgNumNodes,1.015,0.002,0.040,0.074
4,avgDelays,0.069,0.000,0.015,0.028
4,avgNumQueues,0.035,0.000,0.008,0.015
4,utilization_server1,0.323,0.000,0.009,0.016
4,service_server1,1.945,0.004,0.060,0.111
4,share_server1,0.334,0.000,0.007,0.012
4,utilization_server2,0.334,0.000,0.017,0.030
4,service_server2,1.965,0.006,0.081,0.148
4,share_server2,0.341,0.000,0.011,0.021
4,utilization_server3,0.329,0.000,0.011,0.019
4,service_server3,2.005,0.008,0.092,0.169
4,share_server3,0.329,0.000,0.010,0.019
8,avgInterarrivals,2.008,0.019,0.139,0.124
8,avgWaits,2.048,0.006,0.075,0.067
8,avgNumNodes,1.036,0.004,0.067,0.060
8,avgDelays,0.090,0.002,0.039,0.035
8,avgNumQueues,0.046,0.000,0.021,0.019
8,utilization_server1,0.335,0.000,0.019,0.017
8,service_server1,1.997,0.006,0.077,0.069
8,share_server1,0.333,0.000,0.009,0.008
8,utilization_server2,0.331,0.001,0.024,0.022
8,service_server2,1.949,0.007,0.081,0.073
8,share_server2,0.337,0.000,0.010,0.009
8,utilization_server3,0.329,0.000,0.018,0.016
8,service_server3,1.971,0.018,0.133,0.118
8,share_server3,0.332,0.000,0.014,0.012
16,avgInterarrivals,2.020,0.012,0.112,0.062
16,avgWaits,2.081,0.010,0.100,0.055
16,avgNumNodes,1.040,0.004,0.066,0.037
16,avgDelays,0.102,0.003,0.055,0.030
16,avgNumQueues,0.051,0.001,0.029,0.016
16,utilization_server1,0.332,0.000,0.016,0.009
16,service_server1,1.994,0.006,0.075,0.041
16,share_server1,0.334,0.000,0.008,0.005
16,utilization_server2,0.331,0.000,0.020,0.011
16,service_server2,1.977,0.008,0.090,0.050
16,share_server2,0.336,0.000,0.010,0.005
16,utilization_server3,0.330,0.000,0.020,0.011
16,service_server3,2.003,0.018,0.134,0.074
16,share_server3,0.332,0.000,0.011,0.006
32,avgInterarrivals,2.013,0.009,0.094,0.034
32,avgWaits,2.092,0.008,0.092,0.034
32,avgNumNodes,1.044,0.003,0.059,0.021
32,avgDelays,0.100,0.002,0.046,0.017
32,avgNumQueues,0.051,0.001,0.024,0.009
32,utilization_server1,0.334,0.000,0.016,0.006
32,service_server1,2.012,0.013,0.113,0.041
32,share_server1,0.334,0.000,0.009,0.003
32,utilization_server2,0.334,0.000,0.020,0.007
32,service_server2,2.009,0.014,0.120,0.044
32,share_server2,0.334,0.000,0.010,0.004
32,utilization_server3,0.331,0.000,0.018,0.007
32,service_server3,1.992,0.013,0.116,0.043
32,share_server3,0.334,0.000,0.009,0.003
64,avgInterarrivals,2.001,0.008,0.092,0.023
64,avgWaits,2.090,0.007,0.083,0.021
64,avgNumNodes,1.048,0.004,0.065,0.016
64,avgDelays,0.096,0.001,0.039,0.010
64,avgNumQueues,0.049,0.000,0.020,0.005
64,utilization_server1,0.334,0.000,0.021,0.005
64,service_server1,2.004,0.016,0.126,0.032
64,share_server1,0.334,0.000,0.009,0.002
64,utilization_server2,0.335,0.000,0.020,0.005
64,service_server2,2.011,0.014,0.117,0.030
64,share_server2,0.334,0.000,0.009,0.002
64,utilization_server3,0.335,0.000,0.021,0.005
64,service_server3,2.010,0.013,0.116,0.029
64,share_server3,0.333,0.000,0.010,0.003
128,avgInterarrivals,2.003,0.006,0.079,0.014
128,avgWaits,2.079,0.008,0.090,0.016
128,avgNumNodes,1.040,0.004,0.063,0.011
128,avgDelays,0.096,0.001,0.035,0.006
128,avgNumQueues,0.049,0.000,0.019,0.003
128,utilization_server1,0.332,0.000,0.020,0.004
128,service_server1,1.996,0.015,0.121,0.021
128,share_server1,0.333,0.000,0.009,0.002
128,utilization_server2,0.332,0.000,0.019,0.003
128,service_server2,1.991,0.015,0.122,0.021
128,share_server2,0.334,0.000,0.009,0.002
128,utilization_server3,0.333,0.000,0.020,0.004
128,service_server3,2.005,0.014,0.119,0.021
128,share_server3,0.333,0.000,0.010,0.002
