num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,17.391,156.596,12.514,159.003
2,avgWaits,1.932,0.000,0.001,0.019
2,avgNumNodes,0.409,0.000,0.013,0.167
2,avgDelays,0.053,0.000,0.002,0.019
2,avgNumQueues,0.012,0.000,0.000,0.003
2,utilization_server1,0.206,0.000,0.011,0.137
2,service_server1,1.949,0.005,0.071,0.897
2,share_server1,0.501,0.000,0.012,0.156
2,utilization_server2,0.194,0.000,0.003,0.044
2,service_server2,1.839,0.002,0.044,0.554
2,share_server2,0.499,0.000,0.006,0.073
4,avgInterarrivals,11.214,116.469,10.792,19.829
4,avgWaits,2.037,0.011,0.106,0.194
4,avgNumNodes,0.415,0.000,0.018,0.033
4,avgDelays,0.077,0.001,0.036,0.066
4,avgNumQueues,0.015,0.000,0.006,0.011
4,utilization_server1,0.209,0.000,0.015,0.028
4,service_server1,2.044,0.021,0.146,0.268
4,share_server1,0.501,0.000,0.011,0.020
4,utilization_server2,0.194,0.000,0.006,0.011
4,service_server2,1.898,0.005,0.071,0.130
4,share_server2,0.502,0.000,0.009,0.017
8,avgInterarrivals,7.908,69.199,8.319,7.435
8,avgWaits,2.096,0.039,0.197,0.176
8,avgNumNodes,0.444,0.004,0.063,0.056
8,avgDelays,0.142,0.012,0.107,0.096
8,avgNumQueues,0.031,0.001,0.026,0.023
8,utilization_server1,0.210,0.000,0.022,0.020
8,service_server1,1.999,0.020,0.142,0.127
8,share_server1,0.499,0.000,0.012,0.011
8,utilization_server2,0.205,0.001,0.023,0.020
8,service_server2,1.933,0.019,0.139,0.124
8,share_server2,0.502,0.000,0.008,0.007
16,avgInterarrivals,6.350,37.070,6.088,3.351
16,avgWaits,2.123,0.037,0.192,0.106
16,avgNumNodes,0.446,0.004,0.061,0.033
16,avgDelays,0.149,0.011,0.106,0.058
16,avgNumQueues,0.033,0.001,0.026,0.014
16,utilization_server1,0.214,0.001,0.023,0.012
16,service_server1,2.071,0.034,0.185,0.102
16,share_server1,0.495,0.000,0.015,0.008
16,utilization_server2,0.202,0.000,0.021,0.012
16,service_server2,1.918,0.020,0.140,0.077
16,share_server2,0.503,0.000,0.015,0.008
32,avgInterarrivals,5.516,19.266,4.389,1.608
32,avgWaits,2.117,0.023,0.153,0.056
32,avgNumNodes,0.448,0.002,0.049,0.018
32,avgDelays,0.120,0.007,0.085,0.031
32,avgNumQueues,0.026,0.000,0.020,0.007
32,utilization_server1,0.217,0.000,0.022,0.008
32,service_server1,2.085,0.041,0.203,0.075
32,share_server1,0.494,0.000,0.017,0.006
32,utilization_server2,0.208,0.000,0.022,0.008
32,service_server2,1.944,0.031,0.177,0.065
32,share_server2,0.506,0.000,0.015,0.006
64,avgInterarrivals,5.102,9.834,3.136,0.790
64,avgWaits,2.103,0.023,0.152,0.038
64,avgNumNodes,0.446,0.002,0.045,0.011
64,avgDelays,0.116,0.005,0.069,0.017
64,avgNumQueues,0.026,0.000,0.016,0.004
64,utilization_server1,0.214,0.000,0.020,0.005
64,service_server1,2.053,0.037,0.192,0.048
64,share_server1,0.495,0.000,0.017,0.004
64,utilization_server2,0.209,0.000,0.022,0.006
64,service_server2,1.960,0.037,0.193,0.049
64,share_server2,0.504,0.000,0.016,0.004
128,avgInterarrivals,4.923,4.996,2.235,0.392
128,avgWaits,2.103,0.025,0.157,0.028
128,avgNumNodes,0.444,0.002,0.046,0.008
128,avgDelays,0.109,0.004,0.063,0.011
128,avgNumQueues,0.024,0.000,0.015,0.003
128,utilization_server1,0.214,0.000,0.021,0.004
128,service_server1,2.050,0.039,0.198,0.035
128,share_server1,0.497,0.000,0.017,0.003
128,utilization_server2,0.209,0.001,0.024,0.004
128,service_server2,1.975,0.038,0.194,0.034
128,share_server2,0.502,0.000,0.017,0.003
