num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,25.486,359.114,18.950,240.786
2,avgWaits,1.998,0.011,0.105,1.334
2,avgNumNodes,0.300,0.000,0.013,0.169
2,avgDelays,0.021,0.000,0.018,0.231
2,avgNumQueues,0.003,0.000,0.003,0.035
2,utilization_server1,0.156,0.000,0.004,0.047
2,service_server1,2.038,0.003,0.058,0.736
2,share_server1,0.512,0.000,0.007,0.089
2,utilization_server2,0.142,0.000,0.014,0.179
2,service_server2,1.922,0.056,0.236,2.995
2,share_server2,0.495,0.000,0.007,0.091
4,avgInterarrivals,15.589,277.682,16.664,30.618
4,avgWaits,2.011,0.049,0.222,0.409
4,avgNumNodes,0.331,0.005,0.072,0.133
4,avgDelays,0.036,0.000,0.020,0.036
4,avgNumQueues,0.006,0.000,0.004,0.007
4,utilization_server1,0.166,0.002,0.040,0.074
4,service_server1,2.052,0.160,0.400,0.734
4,share_server1,0.498,0.001,0.025,0.046
4,utilization_server2,0.161,0.001,0.033,0.061
4,service_server2,1.924,0.030,0.173,0.318
4,share_server2,0.509,0.001,0.027,0.050
8,avgInterarrivals,10.683,162.973,12.766,11.410
8,avgWaits,2.064,0.037,0.191,0.171
8,avgNumNodes,0.347,0.004,0.060,0.054
8,avgDelays,0.066,0.002,0.043,0.038
8,avgNumQueues,0.011,0.000,0.007,0.007
8,utilization_server1,0.169,0.001,0.031,0.027
8,service_server1,2.004,0.089,0.299,0.267
8,share_server1,0.506,0.001,0.023,0.021
8,utilization_server2,0.169,0.001,0.032,0.028
8,service_server2,2.020,0.053,0.231,0.207
8,share_server2,0.498,0.001,0.023,0.021
16,avgInterarrivals,8.301,87.201,9.338,5.139
16,avgWaits,2.094,0.032,0.178,0.098
16,avgNumNodes,0.352,0.002,0.049,0.027
16,avgDelays,0.056,0.001,0.038,0.021
16,avgNumQueues,0.010,0.000,0.007,0.004
16,utilization_server1,0.171,0.001,0.026,0.014
16,service_server1,2.034,0.067,0.258,0.142
16,share_server1,0.503,0.000,0.019,0.011
16,utilization_server2,0.173,0.001,0.025,0.014
16,service_server2,2.070,0.050,0.223,0.123
16,share_server2,0.499,0.000,0.019,0.011
32,avgInterarrivals,7.067,45.213,6.724,2.463
32,avgWaits,2.102,0.030,0.173,0.063
32,avgNumNodes,0.356,0.002,0.042,0.015
32,avgDelays,0.064,0.002,0.040,0.015
32,avgNumQueues,0.011,0.000,0.007,0.003
32,utilization_server1,0.170,0.001,0.025,0.009
32,service_server1,1.989,0.069,0.262,0.096
32,share_server1,0.506,0.000,0.019,0.007
32,utilization_server2,0.177,0.000,0.021,0.008
32,service_server2,2.122,0.058,0.242,0.089
32,share_server2,0.496,0.000,0.021,0.008
64,avgInterarrivals,6.437,23.090,4.805,1.210
64,avgWaits,2.079,0.031,0.175,0.044
64,avgNumNodes,0.355,0.002,0.042,0.011
64,avgDelays,0.066,0.002,0.045,0.011
64,avgNumQueues,0.012,0.000,0.009,0.002
64,utilization_server1,0.169,0.001,0.023,0.006
64,service_server1,1.979,0.063,0.252,0.063
64,share_server1,0.504,0.000,0.018,0.005
64,utilization_server2,0.176,0.000,0.022,0.005
64,service_server2,2.082,0.060,0.245,0.062
64,share_server2,0.498,0.000,0.019,0.005
128,avgInterarrivals,6.127,11.728,3.425,0.601
128,avgWaits,2.067,0.029,0.170,0.030
128,avgNumNodes,0.353,0.002,0.041,0.007
128,avgDelays,0.068,0.002,0.045,0.008
128,avgNumQueues,0.012,0.000,0.009,0.002
128,utilization_server1,0.171,0.001,0.023,0.004
128,service_server1,1.989,0.056,0.238,0.042
128,share_server1,0.503,0.000,0.017,0.003
128,utilization_server2,0.173,0.000,0.022,0.004
128,service_server2,2.039,0.058,0.241,0.042
128,share_server2,0.498,0.000,0.018,0.003
