num. sample,statistic,mean,variance,std dev,w (interval length/2)
2,avgInterarrivals,15.865,181.029,13.455,170.958
2,avgWaits,2.103,0.010,0.100,1.265
2,avgNumNodes,0.889,0.001,0.027,0.348
2,avgDelays,0.073,0.000,0.017,0.217
2,avgNumQueues,0.033,0.000,0.009,0.112
2,utilization_server1,0.277,0.000,0.009,0.114
2,service_server1,2.049,0.047,0.216,2.741
2,share_server1,0.324,0.000,0.018,0.232
2,utilization_server2,0.307,0.000,0.015,0.192
2,service_server2,2.225,0.011,0.106,1.345
2,share_server2,0.326,0.000,0.006,0.074
2,utilization_server3,0.276,0.000,0.004,0.053
2,service_server3,1.915,0.003,0.050,0.638
2,share_server3,0.342,0.000,0.012,0.147
4,avgInterarrivals,9.054,136.904,11.701,21.498
4,avgWaits,2.096,0.005,0.072,0.132
4,avgNumNodes,0.910,0.001,0.036,0.066
4,avgDelays,0.077,0.000,0.018,0.033
4,avgNumQueues,0.035,0.000,0.009,0.017
4,utilization_server1,0.295,0.001,0.023,0.043
4,service_server1,2.090,0.033,0.181,0.332
4,share_server1,0.327,0.000,0.014,0.026
4,utilization_server2,0.296,0.000,0.017,0.031
4,service_server2,2.042,0.040,0.199,0.366
4,share_server2,0.335,0.000,0.010,0.019
4,utilization_server3,0.289,0.000,0.015,0.027
4,service_server3,1.992,0.019,0.139,0.255
4,share_server3,0.335,0.000,0.012,0.022
8,avgInterarrivals,5.741,79.432,8.912,7.965
8,avgWaits,2.069,0.008,0.090,0.081
8,avgNumNodes,0.876,0.003,0.055,0.049
8,avgDelays,0.062,0.001,0.029,0.026
8,avgNumQueues,0.027,0.000,0.013,0.012
8,utilization_server1,0.284,0.001,0.026,0.024
8,service_server1,2.037,0.038,0.194,0.173
8,share_server1,0.331,0.000,0.012,0.011
8,utilization_server2,0.284,0.000,0.019,0.017
8,service_server2,1.999,0.026,0.160,0.143
8,share_server2,0.336,0.000,0.009,0.008
8,utilization_server3,0.285,0.000,0.016,0.014
8,service_server3,2.036,0.014,0.117,0.104
8,share_server3,0.332,0.000,0.010,0.009
16,avgInterarrivals,4.043,42.603,6.527,3.592
16,avgWaits,2.070,0.014,0.120,0.066
16,avgNumNodes,0.881,0.005,0.072,0.039
16,avgDelays,0.069,0.001,0.030,0.017
16,avgNumQueues,0.030,0.000,0.015,0.008
16,utilization_server1,0.287,0.001,0.026,0.014
16,service_server1,2.022,0.026,0.163,0.090
16,share_server1,0.334,0.000,0.010,0.006
16,utilization_server2,0.282,0.001,0.025,0.014
16,service_server2,1.974,0.028,0.167,0.092
16,share_server2,0.337,0.000,0.008,0.004
16,utilization_server3,0.286,0.000,0.020,0.011
16,service_server3,2.055,0.022,0.148,0.082
16,share_server3,0.329,0.000,0.010,0.005
32,avgInterarrivals,3.219,21.984,4.689,1.718
32,avgWaits,2.047,0.011,0.103,0.038
32,avgNumNodes,0.864,0.004,0.064,0.023
32,avgDelays,0.062,0.001,0.028,0.010
32,avgNumQueues,0.027,0.000,0.013,0.005
32,utilization_server1,0.282,0.001,0.023,0.009
32,service_server1,2.003,0.024,0.154,0.056
32,share_server1,0.335,0.000,0.010,0.004
32,utilization_server2,0.279,0.000,0.020,0.007
32,service_server2,1.981,0.017,0.129,0.047
32,share_server2,0.335,0.000,0.008,0.003
32,utilization_server3,0.280,0.000,0.019,0.007
32,service_server3,2.012,0.016,0.126,0.046
32,share_server3,0.332,0.000,0.008,0.003
64,avgInterarrivals,2.806,11.165,3.341,0.841
64,avgWaits,2.047,0.008,0.091,0.023
64,avgNumNodes,0.860,0.003,0.053,0.013
64,avgDelays,0.064,0.001,0.025,0.006
64,avgNumQueues,0.027,0.000,0.011,0.003
64,utilization_server1,0.279,0.000,0.019,0.005
64,service_server1,1.992,0.019,0.136,0.034
64,share_server1,0.335,0.000,0.009,0.002
64,utilization_server2,0.278,0.000,0.018,0.005
64,service_server2,1.995,0.017,0.129,0.032
64,share_server2,0.333,0.000,0.009,0.002
64,utilization_server3,0.279,0.000,0.019,0.005
64,service_server3,2.010,0.024,0.155,0.039
64,share_server3,0.332,0.000,0.009,0.002
128,avgInterarrivals,2.596,5.632,2.373,0.417
128,avgWaits,2.049,0.008,0.092,0.016
128,avgNumNodes,0.861,0.003,0.057,0.010
128,avgDelays,0.065,0.001,0.024,0.004
128,avgNumQueues,0.028,0.000,0.011,0.002
128,utilization_server1,0.279,0.000,0.019,0.003
128,service_server1,1.994,0.018,0.134,0.024
128,share_server1,0.334,0.000,0.009,0.002
128,utilization_server2,0.278,0.000,0.020,0.004
128,service_server2,1.991,0.017,0.130,0.023
128,share_server2,0.334,0.000,0.008,0.001
128,utilization_server3,0.280,0.000,0.020,0.004
128,service_server3,2.013,0.018,0.135,0.024
128,share_server3,0.333,0.000,0.009,0.002
