num. sample,statistic,mean,variance,std dev,w (interval length/2)
512,avgNumNodes,1.049,0.014,0.119,0.010
512,avgDelays,0.104,0.006,0.076,0.007
512,avgNumQueues,0.057,0.002,0.046,0.004
512,utilization_server1,0.342,0.001,0.037,0.003
512,service_server1,2.011,0.055,0.235,0.020
512,share_server1,0.347,0.000,0.019,0.002
512,utilization_server2,0.341,0.002,0.039,0.003
512,service_server2,2.024,0.063,0.252,0.022
512,share_server2,0.343,0.000,0.019,0.002
512,utilization_server3,0.339,0.001,0.038,0.003
512,service_server3,2.034,0.061,0.248,0.022
512,share_server3,0.338,0.000,0.018,0.002
1024,avgInterarrivals,2.105,0.022,0.150,0.009
1024,avgWaits,2.103,0.032,0.179,0.011
1024,avgNumNodes,1.051,0.016,0.125,0.008
1024,avgDelays,0.107,0.007,0.086,0.005
1024,avgNumQueues,0.059,0.003,0.052,0.003
1024,utilization_server1,0.344,0.001,0.038,0.002
1024,service_server1,2.026,0.062,0.249,0.015
1024,share_server1,0.346,0.000,0.019,0.001
1024,utilization_server2,0.341,0.002,0.039,0.002
1024,service_server2,2.014,0.061,0.247,0.015
1024,share_server2,0.344,0.000,0.019,0.001
1024,utilization_server3,0.338,0.001,0.038,0.002
1024,service_server3,2.022,0.056,0.237,0.015
1024,share_server3,0.339,0.000,0.018,0.001
