num. sample,statistic,mean,variance,std dev,w (interval length/2)
512,avgNumNodes,0.837,0.013,0.113,0.010
512,avgDelays,0.059,0.003,0.054,0.005
512,avgNumQueues,0.028,0.001,0.028,0.002
512,utilization_server1,0.282,0.002,0.041,0.004
512,service_server1,2.031,0.079,0.281,0.024
512,share_server1,0.349,0.000,0.019,0.002
512,utilization_server2,0.279,0.002,0.042,0.004
512,service_server2,2.028,0.088,0.297,0.026
512,share_server2,0.344,0.000,0.019,0.002
512,utilization_server3,0.275,0.002,0.043,0.004
512,service_server3,2.028,0.086,0.294,0.026
512,share_server3,0.339,0.000,0.019,0.002
1024,avgInterarrivals,2.812,0.067,0.258,0.016
1024,avgWaits,2.064,0.033,0.181,0.011
1024,avgNumNodes,0.836,0.013,0.114,0.007
1024,avgDelays,0.061,0.003,0.058,0.004
1024,avgNumQueues,0.029,0.001,0.030,0.002
1024,utilization_server1,0.282,0.002,0.041,0.002
1024,service_server1,2.029,0.081,0.285,0.017
1024,share_server1,0.349,0.000,0.019,0.001
1024,utilization_server2,0.278,0.002,0.042,0.003
1024,service_server2,2.024,0.085,0.291,0.018
1024,share_server2,0.344,0.000,0.019,0.001
1024,utilization_server3,0.274,0.002,0.041,0.003
1024,service_server3,2.022,0.086,0.293,0.018
1024,share_server3,0.339,0.000,0.019,0.001
