num. sample,statistic,mean,variance,std dev,interval length
771,avgInterarrivals,2.606,0.229,0.479,0.034
771,avgWaits,6.805,26.453,5.143,0.364
771,avgNumNodes,2.369,2.707,1.645,0.116
771,avgDelays,4.876,25.729,5.072,0.359
771,avgNumQueues,1.098,1.366,1.169,0.083
