num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,2.053,0.020,0.141,0.000
2,avgWaits,7.418,21.650,4.653,0.000
2,avgNumNodes,3.019,6.722,2.593,0.000
2,avgDelays,5.397,21.962,4.686,0.000
2,avgNumQueues,1.762,2.800,1.673,0.000
4,avgInterarrivals,2.006,0.012,0.110,0.000
4,avgWaits,4.963,16.852,4.105,0.000
4,avgNumNodes,1.612,5.343,2.311,0.000
4,avgDelays,2.953,16.952,4.117,0.000
4,avgNumQueues,0.900,2.143,1.464,0.000
8,avgInterarrivals,2.028,0.008,0.089,0.000
8,avgWaits,3.802,9.802,3.131,0.000
8,avgNumNodes,0.863,3.232,1.798,0.000
8,avgDelays,1.807,9.814,3.133,0.000
8,avgNumQueues,0.464,1.262,1.123,0.000
16,avgInterarrivals,2.037,0.014,0.117,0.000
16,avgWaits,3.173,5.320,2.306,0.000
16,avgNumNodes,0.459,1.780,1.334,0.000
16,avgDelays,1.197,5.294,2.301,0.000
16,avgNumQueues,0.238,0.682,0.826,0.000
32,avgInterarrivals,2.032,0.011,0.104,0.000
32,avgWaits,2.892,2.759,1.661,0.000
32,avgNumNodes,0.243,0.936,0.968,0.000
32,avgDelays,0.915,2.737,1.654,0.000
32,avgNumQueues,0.123,0.354,0.595,0.000
64,avgInterarrivals,2.007,0.011,0.103,0.000
64,avgWaits,2.808,1.421,1.192,0.000
64,avgNumNodes,0.129,0.481,0.694,0.000
64,avgDelays,0.810,1.405,1.185,0.000
64,avgNumQueues,0.063,0.181,0.425,0.000
128,avgInterarrivals,1.998,0.011,0.103,0.000
128,avgWaits,2.732,0.750,0.866,0.000
128,avgNumNodes,0.068,0.244,0.494,0.000
128,avgDelays,0.736,0.731,0.855,0.000
128,avgNumQueues,0.032,0.091,0.302,0.000
