num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,3.587,0.648,0.805,10.227
2,avgWaits,2.227,0.007,0.082,1.036
2,avgNumNodes,0.002,0.000,0.001,0.015
2,avgDelays,0.199,0.002,0.042,0.537
2,avgNumQueues,0.000,0.000,0.000,0.002
4,avgInterarrivals,4.396,1.044,1.022,1.877
4,avgWaits,2.147,0.011,0.105,0.193
4,avgNumNodes,0.001,0.000,0.001,0.002
4,avgDelays,0.151,0.004,0.060,0.110
4,avgNumQueues,0.000,0.000,0.000,0.000
8,avgInterarrivals,4.475,0.555,0.745,0.666
8,avgWaits,2.186,0.013,0.116,0.104
8,avgNumNodes,0.001,0.000,0.001,0.001
8,avgDelays,0.141,0.006,0.078,0.070
8,avgNumQueues,0.000,0.000,0.000,0.000
16,avgInterarrivals,4.679,0.388,0.623,0.343
16,avgWaits,2.137,0.019,0.138,0.076
16,avgNumNodes,0.001,0.000,0.001,0.000
16,avgDelays,0.099,0.005,0.074,0.041
16,avgNumQueues,0.000,0.000,0.000,0.000
32,avgInterarrivals,4.680,0.278,0.527,0.193
32,avgWaits,2.113,0.021,0.144,0.053
32,avgNumNodes,0.001,0.000,0.000,0.000
32,avgDelays,0.093,0.004,0.064,0.024
32,avgNumQueues,0.000,0.000,0.000,0.000
64,avgInterarrivals,4.702,0.220,0.469,0.118
64,avgWaits,2.105,0.027,0.164,0.041
64,avgNumNodes,0.001,0.000,0.000,0.000
64,avgDelays,0.095,0.006,0.076,0.019
64,avgNumQueues,0.000,0.000,0.000,0.000
128,avgInterarrivals,4.742,0.176,0.419,0.074
128,avgWaits,2.110,0.031,0.175,0.031
128,avgNumNodes,0.001,0.000,0.000,0.000
128,avgDelays,0.096,0.005,0.069,0.012
128,avgNumQueues,0.000,0.000,0.000,0.000
