day,# job completati, # job B completati, # job P completati,#job B nel nodo, # job P nel nodo, # coda B, #coda P,last arrival B [H], last arrival P [H], area B, area P, revenue B, revenue P, revenue, costs, daily revenue, incremental grass revenue, incremental revenue, incremental costs
1,135,116,19,0,1,0,0,21.62,21.70,225.81,64.88,464.00,133.00,597.00,676.51,-79.51,597.00,-79.51,676.51
2,163,146,17,0,1,0,0,21.15,21.16,500.85,106.39,584.00,119.00,703.00,752.83,-49.83,1300.00,-129.33,1429.33
3,184,169,15,0,0,0,0,20.12,20.11,830.37,154.47,676.00,105.00,781.00,808.99,-27.99,2081.00,-157.32,2238.32
4,224,192,32,2,0,0,0,21.51,21.20,1254.41,247.09,768.00,224.00,992.00,960.91,31.09,3073.00,-126.23,3199.23
5,243,226,17,1,3,0,1,20.53,20.49,1728.67,316.32,904.00,119.00,1023.00,983.23,39.77,4096.00,-86.45,4182.45
6,405,359,46,0,1,0,0,20.09,20.18,2605.05,594.91,1436.00,322.00,1758.00,1512.43,245.57,5854.00,159.12,5694.88
7,290,248,42,0,1,0,0,20.23,20.27,3200.47,763.71,992.00,294.00,1286.00,1172.59,113.41,7140.00,272.53,6867.47
8,210,181,29,1,0,0,0,21.41,21.32,3549.04,866.46,724.00,203.00,927.00,914.11,12.89,8067.00,285.43,7781.57
9,168,158,10,0,0,0,0,20.40,20.27,3889.64,899.36,632.00,70.00,702.00,752.11,-50.11,8769.00,235.32,8533.68
10,221,196,25,0,0,0,0,20.98,20.92,4325.82,974.20,784.00,175.00,959.00,937.15,21.85,9728.00,257.17,9470.83
11,202,180,22,0,0,0,0,21.61,21.46,4698.99,1050.00,720.00,154.00,874.00,875.95,-1.95,10602.00,255.23,10346.77
12,224,217,7,0,1,0,0,20.01,20.25,5128.12,1066.42,868.00,49.00,917.00,906.91,10.09,11519.00,265.32,11253.68
13,408,339,69,0,4,0,2,20.39,20.41,5871.88,1490.01,1356.00,483.00,1839.00,1570.75,268.25,13358.00,533.57,12824.43
14,321,255,66,0,1,0,0,21.08,21.11,6481.23,1782.70,1020.00,462.00,1482.00,1313.71,168.29,14840.00,701.87,14138.13
15,203,186,17,0,1,0,0,21.35,21.48,6870.64,1823.88,744.00,119.00,863.00,868.03,-5.03,15703.00,696.84,15006.16
16,164,157,7,0,0,0,0,20.52,20.56,7166.16,1841.53,628.00,49.00,677.00,734.11,-57.11,16380.00,639.73,15740.27
17,202,184,18,0,0,0,0,21.15,21.15,7510.33,1896.96,736.00,126.00,862.00,867.31,-5.31,17242.00,634.43,16607.57
