num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,3.761,1.616,1.271,0.000
2,avgWaits,2.154,0.023,0.150,0.000
2,avgNumNodes,0.006,0.000,0.004,0.000
2,avgDelays,0.220,0.028,0.169,0.000
2,avgNumQueues,0.001,0.000,0.001,0.000
4,avgInterarrivals,4.524,1.390,1.179,0.000
4,avgWaits,2.046,0.023,0.152,0.000
4,avgNumNodes,0.004,0.000,0.004,0.000
4,avgDelays,0.136,0.021,0.146,0.000
4,avgNumQueues,0.000,0.000,0.001,0.000
8,avgInterarrivals,4.503,0.724,0.851,0.000
8,avgWaits,1.988,0.026,0.161,0.000
8,avgNumNodes,0.003,0.000,0.003,0.000
8,avgDelays,0.118,0.012,0.108,0.000
8,avgNumQueues,0.000,0.000,0.001,0.000
16,avgInterarrivals,4.697,0.459,0.677,0.000
16,avgWaits,1.992,0.027,0.165,0.000
16,avgNumNodes,0.002,0.000,0.002,0.000
16,avgDelays,0.090,0.007,0.084,0.000
16,avgNumQueues,0.000,0.000,0.000,0.000
32,avgInterarrivals,4.711,0.256,0.506,0.000
32,avgWaits,2.070,0.031,0.175,0.000
32,avgNumNodes,0.002,0.000,0.002,0.000
32,avgDelays,0.092,0.005,0.069,0.000
32,avgNumQueues,0.000,0.000,0.000,0.000
64,avgInterarrivals,4.694,0.159,0.399,0.000
64,avgWaits,2.079,0.026,0.161,0.000
64,avgNumNodes,0.002,0.000,0.001,0.000
64,avgDelays,0.093,0.004,0.063,0.000
64,avgNumQueues,0.000,0.000,0.000,0.000
128,avgInterarrivals,4.745,0.146,0.382,0.000
128,avgWaits,2.083,0.032,0.178,0.000
128,avgNumNodes,0.001,0.000,0.001,0.000
128,avgDelays,0.091,0.004,0.060,0.000
128,avgNumQueues,0.000,0.000,0.000,0.000
