num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,3.038,0.690,0.831,0.000
2,avgWaits,2.205,0.058,0.242,0.000
2,avgNumNodes,0.003,0.000,0.001,0.000
2,avgDelays,0.338,0.045,0.211,0.000
2,avgNumQueues,0.000,0.000,0.000,0.000
4,avgInterarrivals,2.712,0.457,0.676,0.000
4,avgWaits,2.167,0.031,0.177,0.000
4,avgNumNodes,0.002,0.000,0.001,0.000
4,avgDelays,0.285,0.026,0.162,0.000
4,avgNumQueues,0.000,0.000,0.000,0.000
8,avgInterarrivals,2.553,0.261,0.511,0.000
8,avgWaits,2.353,0.058,0.240,0.000
8,avgNumNodes,0.002,0.000,0.000,0.000
8,avgDelays,0.372,0.026,0.163,0.000
8,avgNumQueues,0.000,0.000,0.000,0.000
16,avgInterarrivals,2.472,0.144,0.380,0.000
16,avgWaits,2.367,0.060,0.245,0.000
16,avgNumNodes,0.002,0.000,0.000,0.000
16,avgDelays,0.401,0.028,0.167,0.000
16,avgNumQueues,0.000,0.000,0.000,0.000
32,avgInterarrivals,2.401,0.081,0.285,0.000
32,avgWaits,2.375,0.042,0.204,0.000
32,avgNumNodes,0.002,0.000,0.000,0.000
32,avgDelays,0.401,0.024,0.156,0.000
32,avgNumQueues,0.000,0.000,0.000,0.000
64,avgInterarrivals,2.401,0.047,0.218,0.000
64,avgWaits,2.398,0.040,0.200,0.000
64,avgNumNodes,0.002,0.000,0.000,0.000
64,avgDelays,0.411,0.021,0.144,0.000
64,avgNumQueues,0.000,0.000,0.000,0.000
128,avgInterarrivals,2.373,0.030,0.172,0.000
128,avgWaits,2.396,0.034,0.184,0.000
128,avgNumNodes,0.002,0.000,0.000,0.000
128,avgDelays,0.413,0.016,0.128,0.000
128,avgNumQueues,0.000,0.000,0.000,0.000
