day,# job completati, # job B completati, # job P completati,#job B nel nodo, # job P nel nodo, # coda B, #coda P,last arrival B [H], last arrival P [H], area B, area P, revenue B, revenue P, revenue, costs, daily revenue, incremental grass revenue, incremental revenue, incremental costs
1,135,116,19,0,1,0,0,21.62,21.70,225.22,64.88,464.00,133.00,597.00,756.51,-159.51,597.00,-159.51,756.51
2,163,146,17,0,1,0,0,21.15,21.16,494.34,106.39,584.00,119.00,703.00,832.83,-129.83,1300.00,-289.33,1589.33
3,184,169,15,0,0,0,0,20.12,20.11,813.16,154.47,676.00,105.00,781.00,888.99,-107.99,2081.00,-397.32,2478.32
4,224,192,32,2,0,0,0,21.51,21.20,1218.14,247.09,768.00,224.00,992.00,1040.91,-48.91,3073.00,-446.23,3519.23
5,243,226,17,1,3,0,1,20.53,20.49,1674.00,316.32,904.00,119.00,1023.00,1063.23,-40.23,4096.00,-486.45,4582.45
6,405,359,46,0,1,0,0,20.09,20.18,2412.45,594.91,1436.00,322.00,1758.00,1592.43,165.57,5854.00,-320.88,6174.88
7,290,248,42,0,1,0,0,20.23,20.27,2958.54,763.71,992.00,294.00,1286.00,1252.59,33.41,7140.00,-287.47,7427.47
8,210,181,29,1,0,0,0,21.41,21.32,3289.24,866.46,724.00,203.00,927.00,994.11,-67.11,8067.00,-354.57,8421.57
9,168,158,10,0,0,0,0,20.40,20.27,3622.56,899.36,632.00,70.00,702.00,832.11,-130.11,8769.00,-484.68,9253.68
10,221,196,25,0,0,0,0,20.98,20.92,4023.96,974.20,784.00,175.00,959.00,1017.15,-58.15,9728.00,-542.83,10270.83
11,202,180,22,0,0,0,0,21.61,21.46,4376.74,1050.00,720.00,154.00,874.00,955.95,-81.95,10602.00,-624.77,11226.77
12,224,217,7,0,1,0,0,20.01,20.25,4779.85,1066.42,868.00,49.00,917.00,986.91,-69.91,11519.00,-694.68,12213.68
13,408,339,69,0,4,0,2,20.39,20.41,5474.09,1490.01,1356.00,483.00,1839.00,1650.75,188.25,13358.00,-506.43,13864.43
14,321,255,66,0,1,0,0,21.08,21.11,6020.91,1782.70,1020.00,462.00,1482.00,1393.71,88.29,14840.00,-418.13,15258.13
15,203,186,17,0,1,0,0,21.35,21.48,6391.09,1823.88,744.00,119.00,863.00,948.03,-85.03,15703.00,-503.16,16206.16
